Species,C27a_N,C27d_N,C27d_R,C27a_R,C27b_N,C27b_R,C27c_N,C27c_R
Sinorhizobium medicae,99.9957,99.95351,3.95461,28.07696,100,90.13057,100,99.99925
Xanthomonas campestris,0.003,0,0,0,0,4.2859,0,0
Cutibacterium acnes,0.00131,0.04399,76.37552,44.16032,0,3.73216,0,0.00075
GGB7699 SGB11380,0,0.0025,11.50676,27.76272,0,0.44064,0,0
Gardnerella vaginalis,0,0,3.73098,0,0,0.33914,0,0
Malassezia restricta,0,0,3.01631,0,0,0.08851,0,0
Sinorhizobium meliloti,59.3987,59.2351,1.95461,17.0686,70,52.2335,70,59.48827
Fannyhessea vaginae,0,0,0.85745,0,0,0,0,0
Staphylococcus aureus,0,0,0.29497,0,0,0,0,0
Methylibium sp CF059,0,0,0.26339,0,0,0,0,0
Micrococcus luteus,0,0,0,0,0,0.26007,0,0
Lactobacillus jensenii,0,0,0,0,0,0.25487,0,0
Staphylococcus epidermidis,0,0,0,0,0,0.14672,0,0
Corynebacterium aurimucosum,0,0,0,0,0,0.09291,0,0
Lactobacillus gasseri,0,0,0,0,0,0.06589,0,0
Streptococcus mitis,0,0,0,0,0,0.04458,0,0
Natronomonas sp LN261,0,0,0,0,0,0.04219,0,0
Lactococcus lactis,0,0,0,0,0,0.03598,0,0
GGB2722 SGB3663,0,0,0,0,0,0.0243,0,0
Pantoea sp CCBC3 3 1,0,0,0,0,0,0.01557,0,0
